"","ad_cap","ag_h2o","biodiv","eco_serv","disturb","for_mgmt","gov_pol","trad_know","inf_gov","infra","lulc","city_h2o","policy_inn","ws_edu","soc_cap","soil","tech_inn","h2o","ws_econ","wtr_clm","fire"
"ad_cap",0,2,3,3,3,2,2,3,2,2,2,3,3,0,0,0,0,0,0,0,0
"ag_h2o",1,0,1,2,2,0,2,2,2,2,3,2,2,0,0,0,0,0,0,0,0
"biodiv",2,2,0,2,2,2,2,2,2,2,3,2,2,0,0,0,0,0,0,0,0
"eco_serv",2,2,3,0,3,2,2,2,2,2,3,2,2,0,0,0,0,0,0,0,0
"disturb",2,2,2,2,0,2,1,2,1,1,2,2,2,0,0,0,0,0,0,0,0
"for_mgmt",2,0,2,2,2,0,2,3,2,1,2,2,3,0,0,0,0,0,0,0,0
"gov_pol",2,1,2,2,2,1,0,2,2,0,1,2,3,0,0,0,0,0,0,0,0
"trad_know",2,0,1,2,1,1,2,0,2,0,1,2,2,0,0,0,0,0,0,0,0
"inf_gov",2,2,2,2,2,1,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0
"infra",2,1,0,2,2,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0
"lulc",1,2,2,2,2,3,2,3,1,2,0,2,2,0,0,0,0,0,0,0,0
"city_h2o",2,2,0,2,2,1,2,2,2,2,3,0,2,0,0,0,0,0,0,0,0
"policy_inn",2,1,0,2,2,1,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0
"ws_edu",2,1,2,2,2,1,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0
"soc_cap",2,2,1,2,2,1,2,2,2,3,2,2,2,0,0,0,0,0,0,0,0
"soil",2,2,3,2,2,2,0,2,1,2,3,2,2,0,0,0,0,0,0,0,0
"tech_inn",2,1,0,2,2,1,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0
"h2o",2,2,2,2,3,3,3,2,2,3,3,3,2,0,0,0,0,0,0,0,0
"ws_econ",2,2,1,2,2,2,2,2,2,3,2,2,2,0,0,0,0,0,0,0,0
"wtr_clm",0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fire",2,1,2,2,3,3,2,2,2,1,2,0,2,0,0,0,0,0,0,0,0
